자치구별(2),교통사고수 (건),사업체수 (개),주점수,음주사고수 (건),인구밀도 (명/㎢),주차 면수 (면수),차량통행속도,휘발유 사용량,경유 사용량,LPG 사용량,도시공원수 (개소),도시공원면적 (천㎡)
종로구,1190,40490,7339,70,6869,90099,23,60,79,39,72,6448.6
중구,1252,62936,6357,39,13514,99538,19.9,277,739,385,59,3082.4
용산구,1337,20806,4315,106,11179,112712,27,173,308,16,65,781.7
성동구,1076,27278,3258,79,18551,123306,25.5,297,389,294,63,1260
광진구,1064,24688,4240,77,21819,127454,25.5,506,531,202,41,2913.1
동대문구,1718,32411,4453,94,25748,123174,24,301,328,375,80,1033.5
중랑구,1639,28045,3809,80,22318,122128,23,216,244,302,65,5023.8
성북구,1557,24039,3990,82,18533,155064,24.7,413,416,184,74,4415.7
강북구,1202,18928,3827,85,13898,88173,20.9,177,187,292,63,2280.2
도봉구,944,18351,2462,71,16752,112527,21.9,305,290,200,51,1165.9
노원구,1499,26516,3583,114,15748,175553,24.3,247,220,517,129,13850.2
은평구,1067,24561,4174,69,16534,160593,21.7,315,258,256,98,6228.9
서대문구,1032,19852,4329,52,18440,116018,23.7,301,215,310,78,4898.2
마포구,1859,36325,7897,184,16174,167122,25,161,107,230,98,3126.7
양천구,1343,26077,3262,96,27289,162185,25.9,346,299,577,102,2487.3
강서구,1584,36556,5464,122,14679,259917,24.3,551,725,543,155,3244.9
구로구,1433,38405,4401,119,21946,177729,23.3,361,464,538,56,2868.7
금천구,824,31750,3032,68,19469,121784,24,227,258,115,47,2042.2
영등포구,2386,43163,7052,179,16377,171180,24,536,513,529,90,746.1
동작구,1409,19966,3426,101,24978,119153,26.6,285,224,108,67,4391.6
관악구,1251,26374,4799,89,17617,148454,24.8,272,219,203,98,10969.2
서초구,2361,46207,6748,182,9480,266362,26.7,1107,880,189,124,15079.8
강남구,3469,72511,11897,403,14203,390451,24.8,1078,1743,1123,142,5302
송파구,2758,46676,6621,207,19813,290809,24.4,887,3235,256,150,1837.7
강동구,1371,29952,4171,96,17909,172390,24.3,245,220,380,115,2842.4
종로구,1134,39952,7437,63,6817,94485,22.5,62,76,38,69,6432.5
중구,1128,60957,6445,70,13618,108240,19.5,289,844,403,59,3082.4
용산구,1330,20813,4695,100,11209,113341,26.6,163,210,15,65,781.7
성동구,1143,27868,3252,85,18771,121228,25,281,368,282,64,1260.7
광진구,1108,24535,4240,107,21746,129859,25.1,478,438,190,44,2916.4
동대문구,1699,31878,4340,97,25630,135626,23.9,295,343,353,79,1033.7
중랑구,1565,28024,3787,82,22067,127195,22.8,225,259,283,65,5023.7
성북구,1427,23287,3952,86,18218,155244,24.6,409,372,172,74,4420
강북구,1216,18918,3820,77,13683,89173,21.3,189,200,275,64,2291.8
도봉구,824,18894,2483,44,16531,112583,21.9,308,315,187,50,1163.8
노원구,1569,26616,3563,110,15468,175831,24,283,242,484,129,13850.2
은평구,1134,24873,3835,79,16415,159015,21.6,311,278,240,98,6228.9
서대문구,1033,19796,4203,58,18331,115993,23.6,281,202,293,78,4898.2
마포구,1671,37232,8189,159,16199,179349,24.5,177,164,315,98,3126.7
양천구,1428,26126,3284,91,26894,162040,25.4,351,307,543,102,2487.3
강서구,1502,38524,5632,137,14567,260730,23.6,568,822,504,155,3244.9
구로구,1532,38553,4407,119,21793,178806,23.6,390,613,516,61,3005.9
금천구,932,32472,3021,93,19510,119994,23.5,251,279,109,47,2042.2
영등포구,2493,42589,7005,172,16441,170574,23.8,573,529,495,90,746.1
동작구,1412,19916,3364,79,25032,128893,26,262,206,102,66,4391.3
관악구,1300,26105,4808,104,17587,151070,25.3,265,215,191,98,10970.6
서초구,2478,46540,6263,173,9326,277211,26.2,1110,1010,178,137,15230.5
강남구,3459,71373,11462,373,13859,390191,24.5,694,509,990,142,5302
송파구,2860,47772,6748,199,19883,305199,24,890,2861,243,155,2034.2
강동구,1418,29772,4118,99,17564,167853,23.9,238,222,358,115,2827.7
종로구,1133,39679,7399,48,6769,95350,22.7,65,83,40,69,6433
중구,1184,60127,6543,30,13704,107399,19.6,265,778,467,59,3082.7
용산구,1187,20254,4814,73,11213,113591,26.5,158,208,16,71,763.1
성동구,1091,28343,3602,61,18327,133724,24.9,286,365,287,64,1257.1
광진구,973,24445,4391,62,21507,138741,24.9,453,401,187,44,2916.4
동대문구,1565,31324,4341,63,25537,138200,24,302,314,352,79,1033
중랑구,1620,28228,3838,74,21736,133615,23.5,240,314,280,64,5022.6
